Data,Operacao,Lucro_Lay
2024-01-01,1,0.05
2024-01-02,2,0.12
2024-01-03,3,-0.08
2024-01-04,4,0.15
2024-01-05,5,0.03
2024-01-06,6,-0.15
2024-01-07,7,0.09
2024-01-08,8,0.07
2024-01-09,9,-0.05
2024-01-10,10,0.11
2024-01-11,11,0.08
2024-01-12,12,-0.12
2024-01-13,13,0.14
2024-01-14,14,0.06
2024-01-15,15,-0.03
2024-01-16,16,0.18
2024-01-17,17,0.02
2024-01-18,18,-0.07
2024-01-19,19,0.13
2024-01-20,20,0.04
2024-01-21,21,-0.09
2024-01-22,22,0.16
2024-01-23,23,0.01
2024-01-24,24,-0.04
2024-01-25,25,0.10
2024-01-26,26,0.12
2024-01-27,27,-0.11
2024-01-28,28,0.08
2024-01-29,29,0.05
2024-01-30,30,-0.06
