Date,Time,League,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_FT_Back,Odd_BTTS_Yes_Back,Odd_Over15_FT_Back
2025-07-18,03:00:00,Friendly Matches,Hapoel Kfar Shelem,Hapoel Rishon Lezion,2.54,3.9,2.22,1.48,1.48,1.14
2025-07-18,05:30:00,Chinese Super League,Changchun Yatai,Shanghai Port FC,7.6,5.8,1.41,1.39,1.59,1.11
2025-07-18,05:30:00,Friendly Matches,Elche,Millwall,1.09,3.65,1.07,1.27,1.01,1.26
2025-07-18,06:30:00,Indian Calcutta Matches,Southern Samity,Peerless SC,3.65,3.55,1.91,1.89,1.78,1.31
2025-07-18,06:30:00,Indian Calcutta Matches,United Kolkata SC,Diamond Harbour,2.14,3.1,3.0,1.94,1.72,1.32
2025-07-18,06:30:00,Indian Calcutta Matches,Aryan Club,Sreebhumi FC,5.0,5.1,1.13,1.27,1.5,1.13
2025-07-18,07:00:00,Bhutan Premier League,Ugyen Academy,Southern City FC,1.81,3.65,3.75,1.69,1.8,1.23
2025-07-18,07:30:00,South Korean K League 1,Daegu Fc,Gimcheon Sangmu,3.85,3.8,2.02,1.74,1.67,1.24
2025-07-18,07:30:00,South Korean K League 1,Suwon FC,Gwangju FC,3.3,3.35,2.46,2.12,1.83,1.37
2025-07-18,08:00:00,Chinese Super League,Wuhan Three Towns,Qingdao Youth Island,2.48,3.7,2.9,1.75,1.65,1.25
2025-07-18,08:30:00,Chinese League 1,Guangdong GZ-Power FC,Dalian Kun City FC,1.65,3.9,5.4,1.92,1.89,1.32
2025-07-18,08:35:00,Chinese Super League,Tianjin Jinmen Tiger FC,Chengdu Rongcheng,5.4,4.2,1.69,1.8,1.81,1.26
2025-07-18,09:00:00,Chinese Super League,Zhejiang Greentown,Yunnan Yukun,1.79,4.1,4.7,1.65,1.64,1.21
2025-07-18,09:00:00,Friendly Matches,First Vienna Fc 1894,Hartberg,3.4,3.65,1.98,1.62,1.62,1.23
2025-07-18,09:00:00,Friendly Matches,Bayern Munich II,SG Sonnenhof,1.47,3.65,2.12,1.52,1.5,1.2
2025-07-18,09:00:00,Friendly Matches,FC Magdeburg,Rot-Weiss Essen,1.63,4.6,4.6,1.52,1.56,1.17
2025-07-18,11:00:00,Friendly Matches,FC Utrecht,Charleroi,1.89,3.55,4.2,1.92,1.75,1.3
2025-07-18,11:00:00,Friendly Matches,Hannover II,Babelsberg,1.38,1.16,1.2,1.2,1.01,1.2
2025-07-18,11:30:00,Friendly Matches,Austria Wien (A),SV Horn,1.81,4.3,3.7,1.34,1.01,1.1
2025-07-18,12:00:00,Friendly Matches,Udinese,Opatija,1.22,6.0,12.5,1.36,1.8,1.11
2025-07-18,12:00:00,Friendly Matches,SCR Altach,Freiburg,3.85,3.05,1.23,1.64,2.0,1.25
2025-07-18,12:00:00,Kazakhstan Premier League,FC Astana,FC Turan,1.06,11.0,36.0,1.47,3.05,1.14
2025-07-18,12:00:00,Finnish Veikkausliiga,KTP,FC Inter,11.0,5.8,1.34,1.44,1.79,1.14
2025-07-18,12:00:00,Czech 2 Liga,Sparta Prague B,Banik Ostrava B,2.04,3.65,3.45,1.7,1.64,1.22
2025-07-18,12:30:00,Finnish Ykkosliiga,TPS,Salpa,1.28,6.8,10.5,1.33,1.64,1.1
2025-07-18,12:30:00,Finnish Women's Matches,HJK Helsinki (W),HPS (W),1.2,5.3,6.4,1.33,1.77,1.09
2025-07-18,12:30:00,Friendly Matches,Erzgebirge,Mgladbach,5.1,4.6,1.59,1.57,1.67,1.17
2025-07-18,12:30:00,Friendly Matches,Junge Wikinger Ried,Bradford,1.8,3.05,1.06,1.01,1.03,1.01
2025-07-18,12:30:00,Friendly Matches,Auxerre,Orleans,1.57,4.5,5.5,1.72,1.72,1.25
2025-07-18,12:30:00,Friendly Matches,Concarneau,Laval,3.1,3.7,1.97,1.53,1.51,1.18
2025-07-18,12:30:00,Friendly Matches,Sk Vorwarts Steyr,Bradford,1.01,1.07,1.09,1.01,1.01,1.2
2025-07-18,13:00:00,Friendly Matches,Montpellier,Rodez,1.73,3.2,2.3,1.17,1.03,1.17
2025-07-18,13:00:00,Friendly Matches,Fortuna Koln,FC Koln,20.0,11.5,1.12,1.19,1.85,1.05
2025-07-18,13:00:00,Friendly Matches,Wiener SK,Floridsdorfer AC,6.0,4.9,1.48,1.6,1.73,1.2
2025-07-18,13:00:00,Friendly Matches,SV Ried,Cottbus,2.66,3.35,2.68,1.89,1.74,1.3
2025-07-18,13:00:00,Friendly Matches,Toulouse,QPR,1.49,4.3,6.8,1.74,1.9,1.25
2025-07-18,13:00:00,Friendly Matches,Voitsberg,NK Slovenska Bistrica,1.58,5.2,4.2,1.28,1.01,1.07
2025-07-18,13:00:00,Polish I Liga,Slask Wroclaw,Wieczysta Krakow,2.02,3.6,3.7,1.87,1.76,1.3
2025-07-18,13:00:00,Finnish Kakkonen,TPV,Tampereen Ilves II,2.74,4.1,2.2,1.41,1.4,1.12
2025-07-18,13:00:00,Friendly Matches,WSG Wattens,Al Ahli,1.01,1.01,1.01,1.14,1.01,1.14
2025-07-18,13:00:00,Latvian 1 Liga,FK Tukums 2000,Skanstes SK,2.14,3.75,1.38,1.28,1.04,1.08
2025-07-18,13:00:00,Estonian Esiliiga,Levadia Tallinn II,Tallinna Kalev II,1.17,2.96,2.44,1.17,1.03,1.17
2025-07-18,13:00:00,Czech 2 Liga,Vyskov,SFC Opava,1.58,2.84,2.12,1.04,1.03,1.04
2025-07-18,13:00:00,Latvian 1 Liga,FK Beitar Riga Mariners,JDFS Alberts,2.52,4.4,2.3,1.25,1.04,1.1
2025-07-18,13:00:00,Czech 2 Liga,FC Sellier & Bellot Vlasim,Slavia Praha B,2.58,3.55,2.58,1.82,1.64,1.27
2025-07-18,13:00:00,Czech 2 Liga,Usti nad Labem,Vysocina Jihlava,2.1,3.45,3.6,2.02,1.81,1.34
2025-07-18,13:00:00,Czech 2 Liga,Ceske Budejovice,FC Zbrojovka Brno,4.5,3.85,1.77,1.82,1.84,1.28
2025-07-18,13:00:00,Romanian Liga I,Hermannstadt,FC Metaloglobus Bucuresti,1.44,4.7,9.2,2.0,2.24,1.33
2025-07-18,13:00:00,Polish Ekstraklasa,Jagiellonia Bialystock,Nieciecza,1.59,4.3,6.0,1.85,1.91,1.29
2025-07-18,13:00:00,Bulgarian A League,CSKA 1948 Sofia,Arda,2.52,3.15,3.1,2.3,1.94,1.44
2025-07-18,13:00:00,Norwegian Eliteserien,Sarpsborg,Rosenborg,2.36,3.85,3.1,1.61,1.55,1.2
2025-07-18,13:00:00,Friendly Matches,Red Bull Salzburg,Derby,1.68,4.1,5.0,1.7,1.72,1.25
2025-07-18,13:00:00,CAF Ladies Africa Nations Cup,Nigeria (W),Zambia (W),1.82,3.25,5.8,2.66,2.38,1.54
2025-07-18,13:30:00,Friendly Matches,Atus Velden,Austria Klagenfurt,2.56,3.45,1.32,1.24,1.01,1.07
2025-07-18,13:30:00,Danish 1st Division,HB Koge,Hobro,2.68,3.5,2.7,1.86,1.72,1.28
2025-07-18,13:30:00,Friendly Matches,Sparta Rotterdam,De Graafschap,1.78,3.75,4.0,1.7,1.64,1.21
2025-07-18,14:00:00,Iraqi FA Cup,Zakho,Duhok,1.01,1.02,1.01,1.01,1.01,1.01
2025-07-18,14:00:00,Czech 1 Liga,Pardubice,Plzen,8.8,5.3,1.39,1.65,1.96,1.21
2025-07-18,14:00:00,Danish Superliga,Viborg,FC Copenhagen,5.5,4.5,1.66,1.7,1.75,1.24
2025-07-18,14:00:00,Danish 1st Division,Hvidovre,B93 Copenhagen,1.68,4.1,5.2,1.8,1.81,1.27
2025-07-18,14:00:00,Friendly Matches,Getafe,Preston,2.24,3.4,3.35,2.18,1.86,1.38
2025-07-18,14:00:00,Friendly Matches,Real Sociedad,Pau,1.64,3.6,6.6,1.78,1.78,1.26
2025-07-18,14:00:00,Friendly Matches,Austria Vienna,Hertha Berlin,2.52,3.35,2.78,1.76,1.58,1.23
2025-07-18,14:00:00,Friendly Matches,Lask Linz,Hajduk Split,3.75,3.55,1.99,1.87,1.76,1.31
2025-07-18,14:30:00,Friendly Matches,KRC Harelbeke,Club Brugge B,7.6,5.6,1.33,1.37,1.6,1.1
2025-07-18,14:30:00,Friendly Matches,Flamengo U20,Leverkusen,2.6,4.1,1.1,1.15,1.11,1.04
2025-07-18,14:30:00,Friendly Matches,St Etienne,Servette,2.68,3.9,2.44,1.61,1.55,1.21
2025-07-18,14:30:00,Friendly Matches,Como,Lille,2.66,3.55,2.6,1.86,1.7,1.28
2025-07-18,15:00:00,Friendly Matches,Kings Lynn,Peterborough,6.6,4.9,1.41,1.55,1.01,1.14
2025-07-18,15:00:00,Icelandic 1 Deild,HK Kopavogur,Thor,2.26,4.1,2.86,1.44,1.43,1.14
2025-07-18,15:15:00,Bulgarian A League,Lokomotiv Sofia,Cherno More,4.3,3.35,2.04,2.4,2.04,1.45
2025-07-18,15:15:00,Slovenian Premier League,NK Radomlje,NK Aluminij,2.08,3.65,3.55,1.83,1.6,1.27
2025-07-18,15:30:00,Friendly Matches,Briton Ferry Llansawel,Merthyr Town,3.6,4.9,1.79,1.29,1.36,1.1
2025-07-18,15:30:00,Welsh League Cup,Pontypridd Town,Cwmbran Celtic,1.49,4.0,4.8,1.47,1.53,1.14
2025-07-18,15:30:00,Welsh League Cup,Caerau Ely,Trefelin,1.88,3.75,3.45,1.53,1.52,1.18
2025-07-18,15:30:00,Romanian Liga I,Universitatea Craiova,Arges Pitesti,1.48,4.6,8.0,1.86,2.06,1.28
2025-07-18,15:30:00,Polish Ekstraklasa,Lech Poznan,Cracovia Krakow,1.7,4.3,5.2,1.78,1.77,1.26
2025-07-18,15:30:00,Polish I Liga,LKS Lodz,Znicz Pruszkow,1.79,3.9,4.4,1.8,1.76,1.27
2025-07-18,15:30:00,Norwegian 2nd Division,Stjordals-Blink,Tromsdalen,2.62,3.8,2.44,1.6,1.52,1.19
2025-07-18,15:45:00,Irish FAI Cup,Waterford,St Mochtas,1.33,4.7,5.9,1.48,1.03,1.13
2025-07-18,15:45:00,Welsh League Cup,Buckley Town,Holyhead Hotspur,1.79,3.6,3.4,1.5,1.47,1.15
2025-07-18,15:45:00,Welsh League Cup,Guilsfield,Mold Alexandra,1.8,3.65,3.85,1.7,1.64,1.23
2025-07-18,15:45:00,Irish FAI Cup,Killester Donnycarney F.C,Bohemians,60.0,21.0,1.04,1.2,2.44,1.04
2025-07-18,15:45:00,Irish FAI Cup,Bray Wanderers,Wayside Celtic,1.18,7.4,19.0,1.47,2.22,1.16
2025-07-18,15:45:00,Irish FAI Cup,Treaty United,Derry City,10.5,4.6,1.42,1.71,1.95,1.23
2025-07-18,15:45:00,Irish FAI Cup,Finn Harps,UCD,2.62,3.6,2.52,1.78,1.66,1.26
2025-07-18,15:45:00,Irish FAI Cup,Drogheda,Crumlin United,1.06,9.4,48.0,1.45,4.1,1.13
2025-07-18,15:45:00,Irish FAI Cup,Galway Utd,Tolka Rovers,1.05,11.0,38.0,1.48,1.03,1.11
2025-07-18,15:45:00,Friendly Matches,Prescot Cables,Nantwich Town,1.84,4.1,3.35,1.41,1.41,1.14
2025-07-18,15:45:00,Irish FAI Cup,Kerry FC,Athlone Town,2.26,3.75,2.92,1.61,1.53,1.19
2025-07-18,15:45:01,Irish FAI Cup,Dundalk,Sligo Rovers,2.48,3.65,2.88,1.98,1.71,1.32
2025-07-18,16:00:00,UEFA Women's Euro 2025,Spain (W),Switzerland (W),1.11,13.5,29.0,1.33,2.44,1.1
2025-07-18,16:00:00,Irish FAI Cup,Shamrock Rovers,Wexford F.C,1.17,8.4,17.5,1.61,2.5,1.2
2025-07-18,16:00:00,Paraguayan Division Intermedia,Guarani de Fram,Deportivo Santani,2.3,3.25,2.84,1.87,1.72,1.3
2025-07-18,16:00:00,CAF Ladies Africa Nations Cup,Morocco (W),Mali (W),1.35,5.1,8.8,1.72,2.04,1.21
2025-07-18,16:15:00,Icelandic 1 Deild,Keflavik,Fjolnir,1.56,4.9,5.2,1.36,1.5,1.11
2025-07-18,16:15:00,Icelandic 1 Deild,Fylkir,Njardvik,3.0,4.1,2.1,1.5,1.48,1.16
2025-07-18,16:15:00,Icelandic 1 Deild,Leiknir R,Throttur,2.92,4.2,2.2,1.39,1.43,1.11
2025-07-18,16:15:00,Icelandic 1 Deild,Grindavik,Selfoss,2.52,4.2,2.56,1.38,1.42,1.12
2025-07-18,17:00:00,Peruvian Primera Division,Alianza Atletico,Sport Huancayo,1.73,3.65,5.8,2.16,1.98,1.37
2025-07-18,17:00:00,Colombian Primera A,America de Cali S.A,Atletico Bucaramanga,1.62,3.05,2.84,1.02,1.03,1.02
2025-07-18,17:30:00,Colombian Primera B,Atletico FC Cali,Tigres FC Zipaquira,2.56,3.2,2.96,2.26,1.89,1.42
2025-07-18,17:30:00,Argentinian Primera Division Reserves,CA Talleres (Res),San Lorenzo (Res),2.94,3.15,2.6,2.3,1.87,1.42
2025-07-18,18:00:00,CONMEBOL Women's Copa America,Uruguay (W),Peru (W),1.14,10.5,22.0,1.44,2.46,1.13
2025-07-18,18:30:00,Paraguayan Primera Division,General Caballero,Club 2 de Mayo,2.9,2.88,2.94,2.78,2.08,1.57
2025-07-18,18:30:00,Venezuelan Primera Division,Deportivo La Guaira,Rayo Zuliano,1.54,3.45,6.8,2.34,2.34,1.48
2025-07-18,18:30:00,Paraguayan Division Intermedia,Club F de la Mora,Sportivo Carapegua,2.34,3.1,2.9,2.28,1.91,1.43
2025-07-18,18:45:00,Mexican Liga MX Femenil,Queretaro (W),Guadalajara (W),7.6,4.1,1.48,1.96,2.04,1.32
