Mercado,Seleção,Tipo de lance,ID da Aposta,Aposta realizada,,Persistência,Probabilidades req.,Aposta ($),Responsabilidade ($),Média de probabilidades correspondidas,Lucro/Prejuízo ($)
Futebol / Campinense x Afogados Ingazeira / Ambos os times marcam?,Sim,A favor,372387508351,23-dez-24 07:26,,C,1.67,3.50,,1.67,(3.50)
Futebol / Campinense x Afogados Ingazeira / Ambos os times marcam?,Não,A favor,372410184214,23-dez-24 16:02,,C,1.57,3.71,,1.57,2.11
Futebol / Jong Ajax Amsterdam x Roda JC / Ambos os times marcam?,Sim,A favor,372387518897,23-dez-24 07:26,,C,1.5,3.50,,1.5,1.76
Futebol / Hatayspor x Adana Demirspor / Ambos os times marcam?,Sim,A favor,372387469766,23-dez-24 07:25,,C,1.79,3.50,,1.79,2.77
Futebol / Hyderabad FC x Northeast United / Ambos os times marcam?,Sim,A favor,372387456666,23-dez-24 07:24,,C,1.67,3.50,,1.67,2.35
Futebol / Colchester United U21 x Bristol City Sub21 / Ambos os times marcam?,Sim,A favor,372387426968,23-dez-24 07:23,,C,1.44,3.50,,1.44,1.54
Futebol / OFK Beograd x FK Backa Topola / Ambos os times marcam?,Sim,A favor,372387446345,23-dez-24 07:24,,C,1.7,3.50,,1.7,2.45
Futebol / Tobago FC Phoenix x Prisons FC / Ambos os times marcam?,Sim,A favor,372347100796,22-dez-24 15:12,,C,1.59,2.00,,1.59,1.18
"Futebol / Levante x Huesca / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,372362425628,22-dez-24 18:07,,C,1.74,4.73,3.50,1.74,(3.50)
"Futebol / Levante x Huesca / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,372363485466,22-dez-24 18:21,,C,1.42,8.33,3.50,1.42,(3.50)
Futebol / Dunbeholden FC x Arnett Gardens FC / Ambos os times marcam?,Sim,A favor,372347054075,22-dez-24 15:11,,C,1.73,2.00,,1.73,(2.00)
Futebol / Molynes United FC x Tivoli Gardens / Ambos os times marcam?,Sim,A favor,372346011101,22-dez-24 15:03,,C,1.63,2.00,,1.63,(2.00)
"Futebol / AEK Athens x Levadiakos / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,372359289941,22-dez-24 17:22,,C,1.71,4.93,3.50,1.71,(3.50)
"Futebol / AEK Athens x Levadiakos / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,372360145331,22-dez-24 17:31,,C,1.48,7.29,3.50,1.48,(3.50)
Futebol / Lierse x Lommel / Ambos os times marcam?,Sim,A favor,372345871803,22-dez-24 15:02,,C,1.61,2.00,,1.61,(2.00)
"Futebol / Almeria x Cadiz / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,372348491146,22-dez-24 15:25,,C,1.8,4.38,3.50,1.8,(3.50)
"Futebol / Almeria x Cadiz / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",A favor,372351255073,22-dez-24 15:52,,C,2.84,1.90,,2.86,3.53
Futebol / AZ x FC Twente / Ambos os times marcam?,Sim,A favor,372151297159,21-dez-24 09:47,,C,1.64,2.00,,1.64,(2.00)
Futebol / VVV-Venlo x Excelsior / Ambos os times marcam?,Sim,A favor,372150365617,21-dez-24 09:41,,C,1.75,2.00,,1.75,1.50
Futebol / Paola Hibernians FC x Hamrun Spartans FC / Ambos os times marcam?,Sim,A favor,372146948406,21-dez-24 09:21,,C,1.75,2.00,,1.75,(2.00)
Futebol / Granada (F) x Sevilla FC (F) / Ambos os times marcam?,Sim,A favor,372151073092,21-dez-24 09:45,,C,1.73,2.00,,1.73,1.46
Futebol / Feyenoord (F) x PSV Eindhoven (W) / Ambos os times marcam?,Sim,A favor,372150182515,21-dez-24 09:40,,C,1.53,2.00,,1.53,1.06
Futebol / South Shields x Marine FC / Ambos os times marcam?,Sim,A favor,372146544085,21-dez-24 09:18,,C,1.68,2.00,,1.68,(2.00)
Futebol / Edinburgh City x Elgin City FC / Ambos os times marcam?,Sim,A favor,372149201511,21-dez-24 09:35,,C,1.67,2.00,,1.67,(2.00)
Futebol / Eupen x FC Liege / Ambos os times marcam?,Sim,A favor,372149772266,21-dez-24 09:38,,C,1.58,2.00,,1.58,(2.00)
Futebol / Ipswich x Newcastle / Ambos os times marcam?,Sim,A favor,372147660107,21-dez-24 09:26,,C,1.7,2.00,,1.7,(2.00)
Futebol / Chesham Utd x Dorking Wanderers / Ambos os times marcam?,Sim,A favor,372149599982,21-dez-24 09:37,,C,1.62,2.00,,1.62,(2.00)
Futebol / Radnicki Nis x Partizan Belgrade / Ambos os times marcam?,Sim,A favor,372147064945,21-dez-24 09:22,,C,1.68,2.00,,1.68,(2.00)
Futebol / Brentford x Nottm Forest / Ambos os times marcam?,Sim,A favor,372148968308,21-dez-24 09:33,,C,1.57,2.00,,1.57,(2.00)
Futebol / Oxford City x Spennymoor Town / Ambos os times marcam?,Sim,A favor,372146814797,21-dez-24 09:20,,C,1.69,2.00,,1.69,(2.00)
Futebol / Ebbsfleet Utd x Gateshead / Ambos os times marcam?,Sim,A favor,372149909262,21-dez-24 09:39,,C,1.64,2.00,,1.64,1.28
Futebol / Montrose x Dumbarton / Ambos os times marcam?,Sim,A favor,372147204262,21-dez-24 09:23,,C,1.59,2.00,,1.59,1.18
Futebol / SU Dives x Saint-Denis FC / Ambos os times marcam?,Sim,A favor,372146187756,21-dez-24 09:16,,C,1.73,2.00,,1.73,(2.00)
Futebol / West Ham x Brighton / Ambos os times marcam?,Sim,A favor,372147566835,21-dez-24 09:25,,C,1.5,2.00,,1.5,1.00
Futebol / Plymouth x Middlesbrough / Ambos os times marcam?,Sim,A favor,372147795370,21-dez-24 09:27,,C,1.73,2.00,,1.74,1.48
Futebol / Besiktas x Alanyaspor / Ambos os times marcam?,Sim,A favor,372150633516,21-dez-24 09:43,,C,1.7,2.00,,1.7,1.40
Futebol / Eintracht Frankfurt x Mainz / Ambos os times marcam?,Sim,A favor,372145908092,21-dez-24 09:15,,C,1.68,2.00,,1.68,1.36
Futebol / Quess East Bengal x Jamshedpur FC / Ambos os times marcam?,Sim,A favor,372145294349,21-dez-24 09:10,,C,1.6,2.00,,1.6,(2.00)
Futebol / Newport County x MK Dons / Ambos os times marcam?,Sim,A favor,372147379449,21-dez-24 09:24,,C,1.69,2.00,,1.69,1.38
Futebol / Hoffenheim x Mgladbach / Ambos os times marcam?,Sim,A favor,372146024281,21-dez-24 09:15,,C,1.53,2.00,,1.53,1.06
Futebol / Hampton and Richmond x Slough Town / Ambos os times marcam?,Sim,A favor,372149434429,21-dez-24 09:36,,C,1.6,2.00,,1.6,1.20
Futebol / Solihull Moors x AFC Fylde / Ambos os times marcam?,Sim,A favor,372150025811,21-dez-24 09:39,,C,1.66,2.00,,1.66,1.32
Futebol / Sivasspor x Samsunspor / Ambos os times marcam?,Sim,A favor,372144929141,21-dez-24 09:08,,C,1.77,2.00,,1.77,(2.00)
Futebol / Viktoria Koln x Sandhausen / Ambos os times marcam?,Sim,A favor,372144458968,21-dez-24 09:05,,C,1.6,2.00,,1.6,(2.00)
Futebol / Bourgoin Jallieu x Martigues / Ambos os times marcam?,Sim,A favor,372145535259,21-dez-24 09:12,,C,1.47,2.00,,1.47,0.94
Futebol / Dortmund II x Saarbrucken / Ambos os times marcam?,Sim,A favor,372145173459,21-dez-24 09:10,,C,1.58,2.00,,1.58,(2.00)
Futebol / Cannes x Grenoble / Ambos os times marcam?,Sim,A favor,372145751901,21-dez-24 09:14,,C,1.69,2.00,,1.69,1.38
Futebol / Rot Weiss Essen x Stuttgart II / Ambos os times marcam?,Sim,A favor,372144354774,21-dez-24 09:04,,C,1.65,2.00,,1.65,1.30
Futebol / Aston Villa x Manchester City / Ambos os times marcam?,Sim,A favor,372142475489,21-dez-24 08:48,,C,1.58,2.00,,1.58,1.16
Futebol / Sassuolo x Palermo / Ambos os times marcam?,Sim,A favor,372145403239,21-dez-24 09:11,,C,1.72,2.00,,1.72,1.44
Futebol / Melaka Utd x PDRM / Ambos os times marcam?,Sim,A favor,372144282593,21-dez-24 09:04,,C,1.72,2.00,,1.72,1.44
Futebol / Hamburger SV x Greuther Furth / Ambos os times marcam?,Sim,A favor,372142162411,21-dez-24 08:45,,C,1.52,2.00,,1.52,(2.00)
Futebol / Erzgebirge x 1860 Munich / Ambos os times marcam?,Sim,A favor,372144558646,21-dez-24 09:06,,C,1.63,2.00,,1.63,1.26
Futebol / FC Zwolle (W) x Heerenveen (F) / Ambos os times marcam?,Sim,A favor,372144674809,21-dez-24 09:07,,C,1.64,2.00,,1.64,1.28
Futebol / Paderborn x Karlsruhe / Ambos os times marcam?,Sim,A favor,372142312578,21-dez-24 08:46,,C,1.56,2.00,,1.56,1.12
Futebol / Blooming Santa Cruz x The Strongest / Ambos os times marcam?,Sim,A favor,372026570179,20-dez-24 08:08,,C,1.61,2.00,,1.61,1.22
Futebol / Westerlo x Yellow-Red Mechelen / Ambos os times marcam?,Sim,A favor,372026291427,20-dez-24 08:06,,C,1.56,2.00,,1.57,1.13
Futebol / Emmen x Den Bosch / Ambos os times marcam?,Sim,A favor,372025507132,20-dez-24 07:58,,C,1.66,2.00,,1.66,(2.00)
Futebol / Club Brugge B x Zulte-Waregem / Ambos os times marcam?,Sim,A favor,372024927749,20-dez-24 07:51,,C,1.59,2.00,,1.59,(2.00)
Futebol / Stockport x Peterborough / Ambos os times marcam?,Sim,A favor,372026137329,20-dez-24 08:04,,C,1.64,2.00,,1.64,1.28
Futebol / San Antonio FC x Club Real Santa Cruz / Ambos os times marcam?,Sim,A favor,372024623013,20-dez-24 07:46,,C,1.41,2.00,,1.41,0.82
"Futebol / Ingolstadt x Cottbus / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,372066025949,20-dez-24 15:56,,C,2.4,3.57,5.00,2.4,(5.00)
"Futebol / Ingolstadt x Cottbus / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",A favor,372068801769,20-dez-24 16:17,,C,3.6,1.92,,3.65,5.09
Futebol / FC Dordrecht x FC Eindhoven / Ambos os times marcam?,Sim,A favor,372024547392,20-dez-24 07:45,,C,1.62,2.00,,1.62,1.24
