Mercado,Hora de inicio,Data da última resolução,Lucro/Perda ($)
"Futebol / Dundalk x Shamrock Rovers : Mais/Menos de 1,5 Gols",27-out-24 14:45,27-out-24 16:41,1.04
"Futebol / Sport Boys (Per) x Utc Cajamarca : Mais/Menos de 1,5 Gols",27-out-24 15:00,27-out-24 16:32,0.62
"Futebol / F91 Dudelange x Progres Niedercorn : Mais/Menos de 1,5 Gols",27-out-24 14:30,27-out-24 16:30,1.22
"Futebol / AD Sarchi x ADR Jicaral : Mais/Menos de 1,5 Gols",27-out-24 14:00,27-out-24 16:01,0.83
"Futebol / Atletico Ottawa x York9 : Mais/Menos de 1,5 Gols",27-out-24 14:00,27-out-24 15:58,1.04
"Futebol / Gent x Genk : Mais/Menos de 1,5 Gols",27-out-24 14:30,27-out-24 15:47,-5.00
"Futebol / Sabadell x Olot : Mais/Menos de 1,5 Gols",27-out-24 14:00,27-out-24 15:24,0.78
"Futebol / Leonesa x Ponferradina : Mais/Menos de 1,5 Gols",27-out-24 13:30,27-out-24 15:22,1.35
"Futebol / SD Logrones x Real Zaragoza II : Mais/Menos de 1,5 Gols",27-out-24 13:00,27-out-24 14:55,0.57
"Futebol / Dynamo Kyiv x Shakhtar : Mais/Menos de 1,5 Gols",27-out-24 13:00,27-out-24 14:47,0.72
"Futebol / Hacken x Halmstads : Mais/Menos de 1,5 Gols",27-out-24 12:30,27-out-24 14:22,1.28
"Futebol / Benevento x Casertana : Mais/Menos de 1,5 Gols",27-out-24 11:30,27-out-24 13:30,3.04
"Futebol / Recreativo de Huelva x Alcorcon : Mais/Menos de 1,5 Gols",27-out-24 11:30,27-out-24 13:27,0.79
"Futebol / Qarabag FK x Shamakhi FK : Mais/Menos de 1,5 Gols",27-out-24 12:00,27-out-24 13:24,1.19
"Futebol / Raya Sporting FC x Kahraba Ismailia : Mais/Menos de 1,5 Gols",27-out-24 12:00,27-out-24 13:12,-5.00
"Futebol / Sampdoria x Mantova : Mais/Menos de 1,5 Gols",27-out-24 11:00,27-out-24 12:57,0.96
"Futebol / Catania x US Latina Calcio : Mais/Menos de 1,5 Gols",27-out-24 11:00,27-out-24 12:54,1.08
"Futebol / Otelul Galati x Unirea Slobozia : Mais/Menos de 1,5 Gols",27-out-24 11:00,27-out-24 12:48,1.35
"Futebol / Albinoleffe x Padova : Mais/Menos de 1,5 Gols",27-out-24 11:00,27-out-24 12:47,-5.00
"Futebol / West Ham x Manchester United : Mais/Menos de 1,5 Gols",27-out-24 11:00,27-out-24 12:41,-5.00
"Futebol / Grazer AK x Rapid Vienna : Mais/Menos de 1,5 Gols",27-out-24 10:30,27-out-24 12:22,1.41
"Futebol / Monastir x EGS Gafsa : Mais/Menos de 1,5 Gols",27-out-24 10:30,27-out-24 12:09,0.90
"Futebol / FC Turan x FK Kaisar : Mais/Menos de 1,5 Gols",27-out-24 10:00,27-out-24 11:54,1.70
"Futebol / Polokwane City x Mamelodi Sundowns : Mais/Menos de 1,5 Gols",27-out-24 10:00,27-out-24 11:52,1.18
"Futebol / Vukovar x NK Sesvete : Mais/Menos de 1,5 Gols",27-out-24 09:50,27-out-24 11:40,1.91
"Futebol / Leganés x Celta de Vigo : Mais/Menos de 1,5 Gols",27-out-24 10:00,27-out-24 11:35,0.25
"Futebol / Tanta x Abo Qair Semads : Mais/Menos de 1,5 Gols",27-out-24 09:30,27-out-24 11:29,0.68
"Futebol / Vejle x Lyngby : Mais/Menos de 1,5 Gols",27-out-24 10:00,27-out-24 11:23,-5.00
"Futebol / Rudes x Cibalia Vinkovci : Mais/Menos de 1,5 Gols",26-out-24 08:50,26-out-24 10:39,0.98
"Futebol / Watford x Blackburn : Mais/Menos de 1,5 Gols",26-out-24 08:30,26-out-24 10:27,1.15
"Futebol / Lysekloster x Sotra SK : Mais/Menos de 1,5 Gols",26-out-24 08:00,26-out-24 09:56,0.83
"Futebol / Hatayspor x Kayserispor : Mais/Menos de 1,5 Gols",26-out-24 07:30,26-out-24 09:33,1.26
"Futebol / Espanha (F) x Canadá (F) : Mais/Menos de 1,5 Gols",25-out-24 17:00,25-out-24 18:47,0.85
"Futebol / Torino x Como : Mais/Menos de 1,5 Gols",25-out-24 15:45,25-out-24 17:44,0.78
"Futebol / Kortrijk x Beerschot : Mais/Menos de 1,5 Gols",25-out-24 15:45,25-out-24 17:40,3.33
"Futebol / Rennes x Le Havre : Mais/Menos de 1,5 Gols",25-out-24 15:45,25-out-24 17:38,2.80
"Futebol / Waterford x Bohemians : Mais/Menos de 1,5 Gols",25-out-24 15:45,25-out-24 17:33,-3.46
"Futebol / RAAL La Louviere U21 x K Lierse U21 : Mais/Menos de 1,5 Gols",25-out-24 15:30,25-out-24 17:26,1.94
"Futebol / Aarau x Stade Nyonnais : Mais/Menos de 1,5 Gols",25-out-24 15:15,25-out-24 17:09,2.01
